d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
96,100,32,10,100,0.577,0.8425,0.567336,3265.5,4208.28,3212.19,109,117,109.313,0.96,1,0.936196
96,100,32,20,100,0.55775,0.80614,0.551439,3265.5,4208.28,3212.19,109,117,109.313,0.96,1,0.936196
96,100,32,50,100,0.5615,0.801145,0.550582,3265.5,4208.28,3212.19,109,117,109.313,0.96,1,0.936196
96,100,32,100,100,0.5615,0.81355,0.552568,3265.5,4208.28,3212.19,109,117,109.313,0.96,1,0.936196
96,100,32,150,100,0.80375,1.15754,0.787961,4746,6196.2,4679.52,159,167,159.152,0.98,1,0.963289
96,100,32,200,100,1.129,1.74231,1.12902,6212,8174.11,6143.88,209,215.01,208.992,0.99,1,0.97597
96,100,32,250,100,1.40675,2.19061,1.39731,7702.5,10115.2,7607.04,259,265,258.896,1,1,0.983009
96,100,32,300,100,1.452,2.34934,1.45334,9203,11911.7,9065.21,309,314.01,308.838,1,1,0.987509
96,100,32,500,100,2.375,4.00201,2.41689,15072,19415.1,14849.5,508,513.01,508.671,1,1,0.994291
96,100,32,750,100,3.04925,4.56845,3.04526,22343,28583.3,22034.6,758,762.01,758.555,1,1,0.99706
96,100,32,1000,100,3.88825,5.93777,3.90695,29618,37775.3,29159.3,1008,1012.01,1008.5,1,1,0.9984
96,100,32,2000,100,7.43025,12.9735,7.49853,58210,73590,57360.7,2008,2012,2008.41,1,1,0.99949
96,100,32,3000,100,10.8615,18.9371,11.0623,86456.5,108949,85255.9,3008,3012,3008.38,1,1,0.99974
