d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
128,50,16,10,100,0.174,0.21602,0.168343,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.86677
128,50,16,20,100,0.175,0.217,0.169497,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.86677
128,50,16,50,100,0.174,0.215,0.167933,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.86677
128,50,16,100,100,0.1735,0.21551,0.167675,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.86677
128,50,16,150,100,0.25625,0.312005,0.24595,3013.5,3556.03,2952.95,161,168,161.476,0.94,1,0.916501
128,50,16,200,100,0.3385,0.411,0.324848,3951.5,4631.04,3873.22,211,218,211.315,0.96,1,0.94238
128,50,16,250,100,0.4195,0.50501,0.400853,4871.5,5731.05,4786.52,261,267,261.144,0.98,1,0.956331
128,50,16,300,100,0.50325,0.635015,0.484285,5805.5,6799.02,5700.08,311,316,311.009,0.98,1,0.966121
128,50,16,500,100,0.76775,1.03652,0.748892,9509.5,11042.2,9323.02,511,515,510.8,1,1,0.98307
128,50,16,750,100,0.9255,1.17402,0.890714,14054,16255,13816.7,761,765,760.687,1,1,0.98957
128,50,16,1000,100,1.17,1.46401,1.12499,18650.5,21481.1,18283.7,1011,1015,1010.64,1,1,0.99215
128,50,16,2000,100,2.1245,3.93656,2.15847,36684,41891.3,35955.3,2011,2015,2010.58,1,1,0.9947
128,50,16,3000,100,2.97425,4.26762,2.89375,54476.5,61824,53424.9,3011,3015,3010.57,1,1,0.99513
