d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
128,50,16,10,100,0.501,0.63953,0.485188,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.866769
128,50,16,20,100,0.5015,0.63502,0.484703,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.866769
128,50,16,50,100,0.53425,0.89461,0.557203,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.866769
128,50,16,100,100,0.544,0.89251,0.551706,2072.5,2466.01,2032.58,112,120.01,111.802,0.89,1,0.866769
128,50,16,150,100,0.748,0.972005,0.722741,3013.5,3556.03,2952.95,161,168,161.476,0.94,1,0.916498
128,50,16,200,100,0.9495,1.17553,0.91581,3951.5,4631.04,3873.22,211,218,211.315,0.96,1,0.942376
128,50,16,250,100,1.15675,1.4595,1.11764,4871.5,5731.05,4786.52,261,267,261.144,0.98,1,0.956328
128,50,16,300,100,1.39175,1.8215,1.34651,5805.5,6799.02,5700.08,311,316,311.009,0.98,1,0.96612
128,50,16,500,100,2.09025,2.61852,2.01884,9509.5,11042.2,9323.02,511,515,510.8,1,1,0.983068
128,50,16,750,100,3.1115,4.35886,3.03401,14054,16255,13816.7,761,765,760.687,1,1,0.98957
128,50,16,1000,100,4.126,6.07455,4.09465,18650.5,21481.1,18283.7,1011,1015,1010.64,1,1,0.992151
128,50,16,2000,100,7.75525,11.4766,7.81373,36684,41891.3,35955.3,2011,2015,2010.58,1,1,0.9947
128,50,16,3000,100,10.7393,16.6189,10.7172,54476.5,61824,53425,3011,3015,3010.57,1,1,0.99513
