d,efc,m,efs,k,lp50,lp99,lave,dp50,dp99,dave,hbp50,hbp99,hbave,rp50,rp99,rave
96,100,32,10,100,0.156,0.226,0.154044,1715,2316.08,1662.68,103,118,103.939,0.94,1,0.90655
96,100,32,20,100,0.167,0.22452,0.162846,1715,2316.08,1662.68,103,118,103.939,0.94,1,0.90655
96,100,32,50,100,0.174,0.2365,0.170136,1715,2316.08,1662.68,103,118,103.939,0.94,1,0.90655
96,100,32,100,100,0.15025,0.23801,0.153457,1715,2316.08,1662.68,103,118,103.939,0.94,1,0.90655
96,100,32,150,100,0.2555,0.351525,0.248966,2341,3184.4,2254.84,153,167,153.635,0.97,1,0.94372
96,100,32,200,100,0.33175,0.454005,0.323571,2909,4058.06,2807.26,203,217.01,203.372,0.98,1,0.96172
96,100,32,250,100,0.4465,0.66704,0.455074,3446.5,4866.07,3336.02,252,266.01,253.221,0.99,1,0.97251
96,100,32,300,100,0.576,0.770045,0.565665,3950.5,5645.09,3842.47,302,315.01,303.116,1,1,0.97884
96,100,32,500,100,0.5545,1.03755,0.563643,5824,8694.44,5715.82,502,511.01,502.653,1,1,0.99052
96,100,32,750,100,1.33625,3.67928,1.37143,7945,12339,7834.72,752,760.01,752.375,1,1,0.99497
96,100,32,1000,100,1.5085,4.50581,1.59913,9818.5,15717.3,9790.21,1002,1010.01,1002.15,1,1,0.99707
96,100,32,2000,100,3.0455,4.70365,3.01339,16754,27243.1,16712.3,2001,2008,2001.57,1,1,0.99919
96,100,32,3000,100,4.39075,6.64385,4.37763,22822.5,37410.5,22836.7,3001,3006.01,3001.22,1,1,0.9996
