d,efc,m,efs,k,lp50,lp99,lave,dp50,dp99,dave,hbp50,hbp99,hbave,rp50,rp99,rave
96,100,32,10,100,1.7625,2.83252,1.81235,1715,2324,1662.74,103,118,103.942,0.94,1,0.906568
96,100,32,20,100,1.6755,2.25517,1.65787,1715,2324,1662.74,103,118,103.942,0.94,1,0.906568
96,100,32,50,100,1.775,2.81327,1.80873,1715,2324,1662.74,103,118,103.942,0.94,1,0.906568
96,100,32,100,100,1.66725,2.23874,1.65287,1715,2324,1662.74,103,118,103.942,0.94,1,0.906568
96,100,32,150,100,2.2855,3.03563,2.25084,2341,3184.4,2254.86,153,167,153.635,0.97,1,0.943718
96,100,32,200,100,2.873,4.15777,2.85934,2909,4056.08,2807.27,203,217.01,203.372,0.98,1,0.961719
96,100,32,250,100,4.134,7.36409,4.27462,3446.5,4866.07,3336.01,252,266.01,253.221,0.99,1,0.97251
96,100,32,300,100,4.5745,7.2291,4.67041,3950.5,5645.09,3842.45,302,315.01,303.116,1,1,0.978839
96,100,32,500,100,6.78175,11.0528,6.90167,5824,8690.48,5715.83,502,511.01,502.653,1,1,0.99052
96,100,32,750,100,9.2135,15.8524,9.41474,7945,12339,7834.75,752,760.01,752.376,1,1,0.99497
96,100,32,1000,100,11.9283,21.7492,12.1153,9818.5,15717.3,9790.24,1002,1010.01,1002.15,1,1,0.99707
96,100,32,2000,100,25.5772,40.7004,26.0077,16754,27243.1,16712.3,2001,2008,2001.57,1,1,0.99919
96,100,32,3000,100,31.161,51.5153,31.5603,22822.5,37406.6,22836.7,3001,3006.01,3001.22,1,1,0.9996
