d,efc,m,efs,k,lp50,lp99,lave,dp50,dp99,dave,hbp50,hbp99,hbave,rp50,rp99,rave
128,50,16,10,100,0.1585,0.1995,0.154638,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.78941
128,50,16,20,100,0.157,0.2045,0.155033,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.78941
128,50,16,50,100,0.158,0.204505,0.154987,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.78941
128,50,16,100,100,0.1575,0.203515,0.155566,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.78941
128,50,16,150,100,0.2355,0.295505,0.229702,1525.5,1800.09,1470.87,154,166,154.702,0.87,1,0.85345
128,50,16,200,100,0.3125,0.377505,0.303637,1923,2275.05,1846.3,204,215.01,204.28,0.91,1,0.88954
128,50,16,250,100,0.387,0.460005,0.376531,2303,2723.03,2208.22,253,263,253.893,0.94,1,0.91321
128,50,16,300,100,0.46,0.550035,0.447029,2675.5,3168.07,2561.18,303,312,303.677,0.95,1,0.92979
128,50,16,500,100,0.6665,0.897535,0.627303,4064,4905.02,3885.99,503,511,503.203,0.98,1,0.96259
128,50,16,750,100,0.661,0.950269,0.649923,5651.5,6911.15,5416.57,752,759,752.775,0.99,1,0.97872
128,50,16,1000,100,1.15,1.52752,1.09993,7149.5,8901.21,6854.48,1002,1008,1002.49,1,1,0.98615
128,50,16,2000,100,2.41625,3.1995,2.23802,12496,15905.1,12003.1,2002,2007,2001.9,1,1,0.99518
128,50,16,3000,100,3.92425,9.0459,4.00169,17263.5,22114.3,16604.7,3001,3005.01,3001.58,1,1,0.99729
