d,efc,m,efs,k,lp50,lp99,lave,dp50,dp99,dave,hbp50,hbp99,hbave,rp50,rp99,rave
128,50,16,10,100,1.76375,2.63209,1.79788,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.789408
128,50,16,20,100,1.73025,2.11856,1.69738,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.789408
128,50,16,50,100,1.73775,2.62222,1.73541,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.789408
128,50,16,100,100,1.723,2.10475,1.69091,1111,1356.18,1079.43,104,119.01,105.532,0.81,1,0.789408
128,50,16,150,100,2.41925,2.88801,2.3609,1525.5,1800.09,1470.87,154,166,154.702,0.87,1,0.853448
128,50,16,200,100,3.10675,4.228,3.03958,1923,2275.05,1846.3,204,215.01,204.28,0.91,1,0.889539
128,50,16,250,100,3.76675,5.00677,3.69263,2303,2723.03,2208.22,253,263,253.893,0.94,1,0.913208
128,50,16,300,100,4.433,6.30482,4.35141,2675.5,3168.07,2561.18,303,312,303.677,0.95,1,0.929786
128,50,16,500,100,8.118,11.4412,8.13165,4064,4905.02,3885.99,503,511,503.203,0.98,1,0.962589
128,50,16,750,100,9.967,14.348,9.81056,5651.5,6911.15,5416.57,752,759,752.775,0.99,1,0.97872
128,50,16,1000,100,13.2038,22.739,13.6072,7149.5,8901.21,6854.48,1002,1008,1002.49,1,1,0.986148
128,50,16,2000,100,24.0775,36.5871,24.3944,12496,15905.1,12003.1,2002,2007,2001.9,1,1,0.995181
128,50,16,3000,100,35.6298,53.9372,36.133,17263.5,22114.3,16604.7,3001,3005.01,3001.58,1,1,0.99729
