d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
96,100,16,10,100,3212,0.23,0.31904,0.225488,4752,5558.06,4676.19,1,1,0.98998,0.94,1,0.91087
96,100,16,20,100,3212,0.2305,0.318505,0.225186,4752,5558.06,4676.19,1.01,1.01,0.999878,0.9494,1.01,0.919979
96,100,16,50,100,3212,0.232,0.34353,0.227538,4752,5558.06,4676.19,1.0101,1.0101,0.99998,0.949494,1.0101,0.92007
96,100,16,100,100,3212,0.23,0.319005,0.225285,4752,5558.06,4676.19,1.0101,1.0101,0.99998,0.949495,1.0101,0.92007
96,100,16,150,100,4679,0.346,0.45802,0.335338,6922.5,7988.07,6819.29,1.0101,1.0101,1.00478,0.979596,1.0101,0.95536
96,100,16,200,100,6143,0.4515,0.602545,0.438819,9115.5,10467.2,8959.23,1.0101,1.0101,1.00656,0.999339,1.0101,0.972964
96,100,16,250,100,7607,0.553,0.742045,0.54039,11285,12943.1,11098,1.0101,1.0101,1.00731,0.999999,1.0101,0.98355
96,100,16,300,100,9065,0.65375,0.883525,0.640037,13453,15389,13232.5,1.0101,1.0101,1.00809,1.01,1.0101,0.989616
96,100,16,500,100,14849,1.028,1.38601,1.01049,22084.5,25234.2,21720.1,1.0101,1.0101,1.00895,1.0101,1.0101,1.0009
96,100,16,750,100,22034,1.48925,2.03558,1.46865,32862.5,37494.6,32284.6,1.0101,1.0101,1.00943,1.0101,1.0101,1.0053
96,100,16,1000,100,29159,1.91725,2.63853,1.8925,43549.5,49657.6,42785.5,1.0101,1.0101,1.00956,1.0101,1.0101,1.00741
96,100,16,2000,100,57360,3.596,4.95586,3.57104,85850,97509.2,84463.4,1.0101,1.0101,1.00998,1.0101,1.0101,1.00933
96,100,16,3000,100,85256,5.28075,8.00803,5.25545,127875,145514,125826,1.0101,1.0101,1.01,1.0101,1.0101,1.00973
