d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
200,200,16,10,100,4952,0.55525,0.903045,0.559481,5757.5,8878.66,5929.14,0.98,1,0.900211,0.69,1,0.64561
200,200,16,20,100,4952,0.5705,0.935045,0.576236,5757.5,8878.66,5929.14,0.9898,1.01,0.90921,0.6969,1.01,0.652066
200,200,16,50,100,4952,0.57875,0.968045,0.584731,5757.5,8878.66,5929.14,0.989898,1.0101,0.909303,0.696969,1.0101,0.652131
200,200,16,100,100,4952,0.567,0.93258,0.57309,5757.5,8878.66,5929.14,0.989899,1.0101,0.909303,0.69697,1.0101,0.652131
200,200,16,150,100,7108,0.803,1.25559,0.800969,8321.5,12307.3,8473.47,0.989899,1.0101,0.936003,0.767222,1.0101,0.700711
200,200,16,200,100,9280,1.04075,1.57268,1.03341,10873.5,15102,10991.3,0.999341,1.0101,0.95092,0.80797,1.0101,0.733367
200,200,16,250,100,11443,1.279,1.8356,1.25979,13436,18093.9,13514.6,0.999994,1.0101,0.963829,0.83823,1.0101,0.756454
200,200,16,300,100,13600,1.50775,2.16414,1.48592,15969,20785.2,16019.6,0.999999,1.0101,0.970498,0.868178,1.0101,0.775095
200,200,16,500,100,22232,2.41225,3.1886,2.35146,26119.5,29856.5,25993.1,1,1.0101,0.982305,0.912828,1.0101,0.818101
200,200,16,750,100,33000,3.48375,4.56322,3.4022,38763.5,42697.8,38457.1,1,1.0101,0.987053,0.939187,1.0101,0.849281
200,200,16,1000,100,43731,4.56025,5.90271,4.42654,51293.5,55890.4,50881.8,1,1.0101,0.988611,0.949493,1.0101,0.869403
200,200,16,2000,100,86475,8.666,12.285,8.43007,101121,108557,100357,1.0095,1.0101,0.992836,0.979643,1.0101,0.914054
200,200,16,3000,100,128937,12.953,16.3457,12.5285,150552,161108,149495,1.01,1.0101,0.994799,0.989797,1.0101,0.937281
