d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
256,200,10,10,100,3281,0.357,0.625505,0.366615,3627,6000.04,3823.87,0.96,1,0.817008,0.79,1,0.703298
256,200,10,20,100,3281,0.3455,0.60752,0.355613,3627,6000.04,3823.87,0.9696,1.01,0.825177,0.7979,1.01,0.710333
256,200,10,50,100,3281,0.3365,0.5945,0.345814,3627,6000.04,3823.87,0.969696,1.0101,0.82527,0.797979,1.0101,0.710408
256,200,10,100,100,3281,0.3555,0.624,0.365589,3627,6000.04,3823.87,0.969697,1.0101,0.825272,0.79798,1.0101,0.710412
256,200,10,150,100,4709,0.523,0.881005,0.530666,5205,8049.02,5391.94,0.979192,1.0101,0.866061,0.828182,1.0101,0.741615
256,200,10,200,100,6139,0.6625,1.02802,0.662157,6768,9856.06,6938.98,0.979796,1.0101,0.889819,0.848484,1.0101,0.762445
256,200,10,250,100,7569,0.7865,1.165,0.779406,8329,11420.1,8469.11,0.979798,1.0101,0.904664,0.868585,1.0101,0.777636
256,200,10,300,100,8997,1.0065,1.41151,0.98911,9890,12944.1,9991.04,0.979895,1.0101,0.915219,0.878786,1.0101,0.789849
256,200,10,500,100,14754,1.6605,2.30502,1.61417,16093,18615.1,16075.7,0.989499,1.0101,0.935532,0.908888,1.0101,0.824734
256,200,10,750,100,21993,2.4275,3.05152,2.34167,23819,25911,23705.1,0.989796,1.0101,0.947823,0.929287,1.0101,0.855302
256,200,10,1000,100,29259,3.295,3.94601,3.16218,31524,33596,31347,0.989897,1.0101,0.95505,0.949289,1.0101,0.877551
256,200,10,2000,100,58447,6.78525,7.64802,6.48989,62287.5,64978,61968.1,0.989901,1.0101,0.969169,0.97919,1.0101,0.927708
256,200,10,3000,100,87683,10.1108,14.141,9.90504,92935,96336,92559.8,0.9997,1.0101,0.977224,0.989784,1.0101,0.953434
