d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
128,50,8,10,100,2032,0.1885,0.25351,0.185528,2735,3209.07,2715.47,0.96,1,0.93012,0.835,1,0.82172
128,50,8,20,100,2032,0.18925,0.249525,0.186114,2735,3209.07,2715.47,0.9696,1.01,0.939421,0.84335,1.01,0.829937
128,50,8,50,100,2032,0.1895,0.253515,0.186924,2735,3209.07,2715.47,0.969696,1.0101,0.939515,0.843433,1.0101,0.830019
128,50,8,100,100,2032,0.1885,0.251025,0.185377,2735,3209.07,2715.47,0.969697,1.0101,0.939515,0.843434,1.0101,0.83002
128,50,8,150,100,2952,0.289,0.375015,0.281757,3966,4395.03,3923.99,0.979697,1.0101,0.958665,0.898586,1.0101,0.88775
128,50,8,200,100,3873,0.391,0.473015,0.377456,5203.5,5684.1,5141.38,0.989698,1.0101,0.969717,0.93898,1.0101,0.920878
128,50,8,250,100,4786,0.4895,0.591015,0.474151,6434.5,6992.03,6355.85,0.989899,1.0101,0.976717,0.95939,1.0101,0.942259
128,50,8,300,100,5700,0.58425,0.692045,0.565035,7663,8294.04,7564.72,0.999697,1.0101,0.981777,0.969694,1.0101,0.956743
128,50,8,500,100,9323,0.95175,1.11951,0.918698,12557,13573.2,12396.6,0.999999,1.0101,0.991588,0.999594,1.0101,0.983617
128,50,8,750,100,13816,1.3785,1.62952,1.33439,18653.5,20060.3,18402.4,1.0001,1.0101,0.997286,1.00959,1.0101,0.996226
128,50,8,1000,100,18283,1.80225,2.14353,1.74704,24713.5,26504.1,24383.4,1.01,1.0101,0.999973,1.0101,1.0101,1.00182
128,50,8,2000,100,35955,3.41075,4.12902,3.31333,48761.5,52089.3,48120.2,1.0101,1.0101,1.00493,1.0101,1.0101,1.00746
128,50,8,3000,100,53424,4.996,7.27327,4.90929,72590,77435.5,71695.4,1.0101,1.0101,1.00619,1.0101,1.0101,1.00867
