d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
100,200,16,10,100,4807,0.3235,0.517015,0.323778,5695.5,8430.28,5793.5,0.86,1,0.80004,0.82,1,0.75959
100,200,16,20,100,4807,0.3255,0.519035,0.325284,5695.5,8430.28,5793.5,0.8686,1.01,0.808041,0.8282,1.01,0.767186
100,200,16,50,100,4807,0.324,0.515525,0.324148,5695.5,8430.28,5793.5,0.868686,1.0101,0.80812,0.828282,1.0101,0.767262
100,200,16,100,100,4807,0.324,0.51405,0.324045,5695.5,8430.28,5793.5,0.868687,1.0101,0.808121,0.828283,1.0101,0.767263
100,200,16,150,100,6964,0.4825,0.714545,0.477471,8250,11287.5,8304.02,0.908434,1.0101,0.847511,0.878485,1.0101,0.812172
100,200,16,200,100,9129,0.63475,0.894035,0.625257,10817,13793.7,10819.4,0.928984,1.0101,0.871165,0.908884,1.0101,0.840712
100,200,16,250,100,11303,0.78375,1.07456,0.767124,13372.5,16548.4,13325.2,0.93929,1.0101,0.887652,0.929089,1.0101,0.860667
100,200,16,300,100,13466,0.9245,1.23251,0.903788,15910,18906.6,15825.1,0.949294,1.0101,0.899476,0.939392,1.0101,0.876617
100,200,16,500,100,22132,1.4875,1.92759,1.4575,26100.5,29073.3,25879.2,0.969594,1.0101,0.925275,0.969696,1.0101,0.916136
100,200,16,750,100,32950,2.1815,2.77558,2.13154,38751,42664.7,38409.1,0.979797,1.0101,0.942643,0.989792,1.0101,0.941882
100,200,16,1000,100,43779,2.86675,3.64054,2.80549,51369.5,56306.9,50945,0.989746,1.0101,0.954236,0.999796,1.0101,0.957149
100,200,16,2000,100,86924,5.59325,7.06559,5.4487,101778,110571,100981,0.999896,1.0101,0.974742,1.0099,1.0101,0.985391
100,200,16,3000,100,129931,8.36025,10.3746,8.07272,151980,164494,150827,1,1.0101,0.984198,1.0101,1.0101,0.996014
