d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
256,200,10,10,100,1640,0.388,0.597505,0.386573,3720,5477.01,3820.99,0.96,1,0.814379,0.79,1,0.703607
256,200,10,20,100,1640,0.387,0.597,0.386425,3720,5477.01,3820.99,0.96,1,0.814379,0.79,1,0.703607
256,200,10,50,100,1640,0.3865,0.5965,0.386033,3720,5477.01,3820.99,0.96,1,0.814379,0.79,1,0.703607
256,200,10,100,100,1640,0.3865,0.597505,0.386192,3720,5477.01,3820.99,0.96,1,0.814379,0.79,1,0.703607
256,200,10,150,100,2354,0.5495,0.806505,0.545855,5298,7288.03,5397.64,0.96,1,0.857362,0.82,1,0.735868
256,200,10,200,100,3069,0.711,1.006,0.702401,6851,9070.14,6942.9,0.97,1,0.880143,0.85,1,0.755797
256,200,10,250,100,3784,0.87125,1.195,0.856783,8407,10643.1,8471.84,0.97,1,0.893981,0.86,1,0.770652
256,200,10,300,100,4498,1.0285,1.3765,1.00636,9958,12211.1,9993.72,0.97,1,0.904103,0.87,1,0.783082
256,200,10,500,100,7377,1.6825,2.10151,1.6261,16129,18107.1,16074.2,0.98,1,0.926107,0.9,1,0.817255
256,200,10,750,100,10996,2.5025,2.996,2.40166,23835,25691,23701.5,0.98,1,0.938315,0.92,1,0.847382
256,200,10,1000,100,14629,3.457,4.92751,3.40728,31528,33482,31340.7,0.98,1,0.945636,0.94,1,0.869031
256,200,10,2000,100,29223,6.78175,7.569,6.48079,62270.5,64908,61953,0.98,1,0.959529,0.97,1,0.919027
256,200,10,3000,100,43841,10.0373,11.189,9.70411,92909,96296,92539.2,0.99,1,0.967533,0.98,1,0.944169
