d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
96,100,16,10,100,1606,0.2575,0.348025,0.252803,4823,5607.14,4738.26,0.95,1,0.92792,0.97,1,0.95006
96,100,16,20,100,1606,0.258,0.348505,0.253197,4823,5607.14,4738.26,0.9595,1.01,0.937199,0.9797,1.01,0.959559
96,100,16,50,100,1606,0.25875,0.348515,0.253004,4823,5607.14,4738.26,0.959595,1.0101,0.937292,0.979797,1.0101,0.959656
96,100,16,100,100,1606,0.25825,0.344505,0.252883,4823,5607.14,4738.26,0.959596,1.0101,0.937293,0.979798,1.0101,0.959656
96,100,16,150,100,2339,0.3705,0.487015,0.361177,6999.5,8002.16,6877.16,0.979697,1.0101,0.963653,0.999798,1.0101,0.981516
96,100,16,200,100,3071,0.47875,0.623505,0.466632,9178.5,10517.3,9016.84,0.989899,1.0101,0.978486,1.0099,1.0101,0.991765
96,100,16,250,100,3803,0.5805,0.765005,0.568947,11350,12984.4,11155.1,0.999899,1.0101,0.986045,1.0101,1.0101,0.997928
96,100,16,300,100,4532,0.68,0.89704,0.666836,13539,15486.4,13287.4,1,1.0101,0.991291,1.0101,1.0101,1.00118
96,100,16,500,100,7424,1.06375,1.42201,1.04491,22171.5,25381.5,21772.6,1.01,1.0101,1.00078,1.0101,1.0101,1.00651
96,100,16,750,100,11017,1.521,2.05606,1.49704,32947.5,37564.6,32332.3,1.0101,1.0101,1.00468,1.0101,1.0101,1.00852
96,100,16,1000,100,14579,1.9055,2.63455,1.88276,43630,49768.8,42831.5,1.0101,1.0101,1.00679,1.0101,1.0101,1.00915
96,100,16,2000,100,28680,3.423,4.71367,3.39765,85969,97786.2,84508.7,1.0101,1.0101,1.00895,1.0101,1.0101,1.00992
96,100,16,3000,100,42628,4.835,6.69867,4.79979,128029,145607,125869,1.0101,1.0101,1.00954,1.0101,1.0101,1.01004
