d,efc,m,efs,k,dc,lp50,lp99,lave, dp50,dp99,dave,op50,op99,oave,rp50,rp99,rave
128,50,8,10,100,1016,0.2075,0.294505,0.210046,2689.5,3418.1,2714.4,0.575,0.980099,0.44017,0.85,1,0.80077
128,50,8,20,100,1016,0.20675,0.300015,0.209739,2689.5,3418.1,2714.4,0.575,0.980099,0.44017,0.85,1,0.80077
128,50,8,50,100,1016,0.2075,0.29753,0.210178,2689.5,3418.1,2714.4,0.575,0.980099,0.44017,0.85,1,0.80077
128,50,8,100,100,1016,0.2075,0.295515,0.209915,2689.5,3418.1,2714.4,0.575,0.980099,0.44017,0.85,1,0.80077
128,50,8,150,100,1476,0.303,0.413505,0.303493,3856,4731.48,3889.2,0.665,1,0.46489,0.91,1,0.873791
128,50,8,200,100,1936,0.4,0.529005,0.398759,5028,6120.1,5065.65,0.715,1,0.47683,0.94,1,0.91376
128,50,8,250,100,2393,0.4965,0.643525,0.491984,6188.5,7344.18,6232.64,0.77,1,0.48645,0.96,1,0.93404
128,50,8,300,100,2850,0.5875,0.75751,0.581557,7364,8642.25,7403.15,0.8,1,0.49308,0.97,1,0.94991
128,50,8,500,100,4661,0.9545,1.1835,0.937454,12049,13713.2,12085.7,0.87,1,0.50666,0.99,1,0.97612
128,50,8,750,100,6908,1.40075,1.68868,1.36546,17889.5,20013.3,17922.2,0.915,1,0.51472,1,1,0.98777
128,50,8,1000,100,9141,1.83575,2.18955,1.78625,23739.5,26349.2,23743.4,0.93,1,0.51783,1,1,0.99234
128,50,8,2000,100,17977,3.50725,4.13756,3.40455,46997,51370.1,46906.3,0.97,1,0.52249,1,1,0.99759
128,50,8,3000,100,26712,5.104,6.08002,4.96494,70130.5,76298.4,69949.1,0.98,1,0.52393,1,1,0.99868
