d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
96,100,32,10,100,0.1535,0.259,0.150893,3265.5,4208.28,3212.13,109,117,109.311,0.96,1,0.93619
96,100,32,20,100,0.20375,0.29,0.197399,3265.5,4208.28,3212.13,109,117,109.311,0.96,1,0.93619
96,100,32,50,100,0.198,0.27952,0.19228,3265.5,4208.28,3212.13,109,117,109.311,0.96,1,0.93619
96,100,32,100,100,0.1475,0.22101,0.144591,3265.5,4208.28,3212.13,109,117,109.311,0.96,1,0.93619
96,100,32,150,100,0.216,0.31303,0.210465,4746,6196.2,4679.52,159,167,159.152,0.98,1,0.963291
96,100,32,200,100,0.27725,0.40602,0.272034,6212,8174.11,6143.88,209,215.01,208.992,0.99,1,0.97597
96,100,32,250,100,0.339,0.49402,0.332856,7702.5,10115.1,7607.06,259,265,258.897,1,1,0.98301
96,100,32,300,100,0.39525,0.580005,0.389044,9203,11911.7,9065.22,309,314.01,308.838,1,1,0.98751
96,100,32,500,100,0.621,0.91552,0.612384,15072,19414.1,14849.5,508,513.01,508.672,1,1,0.99429
96,100,32,750,100,0.9035,1.35857,0.896912,22343,28583.3,22034.7,758,762.01,758.556,1,1,0.99706
96,100,32,1000,100,1.1415,1.6895,1.13124,29618,37775.3,29159.5,1008,1012.01,1008.5,1,1,0.9984
96,100,32,2000,100,2.14825,3.18258,2.13651,58210,73590,57360.8,2008,2012,2008.41,1,1,0.99949
96,100,32,3000,100,3.106,4.61265,3.08362,86456.5,108949,85256.2,3008,3012,3008.38,1,1,0.99974
