d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
100,200,32,10,100,0.2745,0.410015,0.266588,4885.5,6736.16,4807.99,110,139.04,112.14,0.83,1,0.76051
100,200,32,20,100,0.275,0.413505,0.267372,4885.5,6736.16,4807.99,110,139.04,112.14,0.83,1,0.76051
100,200,32,50,100,0.27425,0.40755,0.26635,4885.5,6736.16,4807.99,110,139.04,112.14,0.83,1,0.76051
100,200,32,100,100,0.27325,0.408594,0.266348,4885.5,6736.16,4807.99,110,139.04,112.14,0.83,1,0.76051
100,200,32,150,100,0.398,0.55653,0.385533,7148.5,8895.12,6964.41,160,188.02,161.445,0.88,1,0.80921
100,200,32,200,100,0.521,0.70901,0.501248,9386.5,11238,9129.41,210,231.01,210.962,0.91,1,0.83942
100,200,32,250,100,0.64225,0.870015,0.617105,11646,13869.1,11303.1,259,283.01,260.647,0.93,1,0.86113
100,200,32,300,100,0.75775,1.01304,0.726014,13895.5,16336,13466.7,309,330.02,310.264,0.94,1,0.878521
100,200,32,500,100,1.4485,2.06556,1.41882,22814,26533,22132,509,522.01,509.669,0.97,1,0.91943
100,200,32,750,100,1.77525,2.73604,1.71952,33963,39247.9,32950.8,759,770.01,759.18,0.98,1,0.94467
100,200,32,1000,100,2.316,3.06104,2.22089,45110.5,52012.3,43779.2,1009,1019,1008.93,0.99,1,0.95905
100,200,32,2000,100,4.48525,5.81901,4.27349,89260,102240,86924.5,2008,2015.01,2008.46,1,1,0.98291
100,200,32,3000,100,6.64325,8.46463,6.30256,133392,151808,129931,3008,3013.01,3008.27,1,1,0.99125
