       i      m1      m2       m       o     dc1     dc2      dc
       0    0.99    0.96    1.00    0.96    2846    2816    5662
       1    1.00    0.92    1.00    0.92    2768    2410    5178
       2    0.99    0.75    1.00    0.74    2956    2484    5440
       3    0.98    0.98    1.00    0.98    2478    2485    4963
       4    1.00    1.00    1.00    1.00    2585    2476    5061
       5    0.99    0.99    1.00    0.99    2506    2640    5146
       6    0.85    0.81    0.96    0.85    2528    2808    5336
       7    0.98    1.00    1.00    0.98    2900    2557    5457
       8    0.98    1.00    1.00    0.98    2456    3024    5480
       9    0.99    0.99    1.00    0.99    2535    2534    5069
      10    0.87    0.89    0.99    0.86    2351    2302    4653
      11    1.00    0.99    1.00    0.99    2891    2786    5677
      12    0.99    1.00    1.00    0.99    2580    2526    5106
      13    1.00    0.94    1.00    0.94    2530    2508    5038
      14    0.98    0.98    1.00    0.98    2469    2710    5179
      15    0.94    0.95    1.00    0.94    2520    2437    4957
      16    0.98    0.98    1.00    0.98    2507    2582    5089
      17    0.98    1.00    1.00    0.98    2532    2550    5082
      18    1.00    0.83    1.00    0.83    2487    2396    4883
      19    0.98    0.98    1.00    0.98    2477    2533    5010
      20    1.00    1.00    1.00    1.00    2496    2498    4994
      21    1.00    0.98    1.00    0.98    2495    2529    5024
      22    1.00    1.00    1.00    1.00    2492    2470    4962
      23    0.96    0.99    1.00    0.96    2445    2370    4815
      24    0.78    0.97    1.00    0.76    2450    2476    4926
      25    0.63    0.98    0.98    0.64    2377    2498    4875
      26    1.00    0.85    1.00    0.85    3343    2583    5926
      27    1.00    0.98    1.00    0.98    2470    2461    4931
      28    0.99    0.98    1.00    0.98    2770    2678    5448
      29    0.99    0.99    1.00    0.99    2576    2533    5109
      30    0.86    0.88    1.00    0.85    2849    2848    5697
      31    0.93    0.93    1.00    0.93    2430    2403    4833
      32    0.98    0.97    1.00    0.97    2380    2397    4777
      33    0.99    0.99    1.00    0.99    2678    2487    5165
      34    1.00    1.00    1.00    1.00    2627    2487    5114
      35    0.94    0.97    1.00    0.94    2550    2671    5221
      36    0.99    0.98    0.99    0.98    2512    2568    5080
      37    0.98    0.96    0.99    0.97    2428    2398    4826
      38    0.97    0.89    1.00    0.89    2559    2508    5067
      39    1.00    0.98    1.00    0.98    2449    2555    5004
      40    1.00    1.00    1.00    1.00    2534    2650    5184
      41    0.96    0.73    0.99    0.74    2735    2645    5380
      42    0.99    1.00    1.00    0.99    2565    2504    5069
      43    0.99    0.86    1.00    0.86    2583    2386    4969
      44    0.98    0.99    1.00    0.98    2435    2537    4972
      45    0.99    0.92    1.00    0.92    2479    2768    5247
      46    0.98    0.88    1.00    0.88    2369    2497    4866
      47    1.00    0.99    1.00    0.99    2964    2522    5486
      48    0.74    0.97    1.00    0.72    2479    2633    5112
      49    0.99    1.00    1.00    0.99    2706    2507    5213
      50    0.98    0.97    1.00    0.96    2673    2789    5462
      51    1.00    0.97    1.00    0.97    2515    2657    5172
      52    0.99    0.97    1.00    0.97    2561    2608    5169
      53    0.98    0.96    1.00    0.96    2535    2462    4997
      54    0.91    0.85    1.00    0.84    2374    2480    4854
      55    1.00    0.94    1.00    0.94    2442    2495    4937
      56    0.83    0.88    0.99    0.84    2267    2454    4721
      57    0.97    0.77    1.00    0.75    2752    2647    5399
      58    0.98    0.99    1.00    0.98    2622    2422    5044
      59    1.00    0.98    1.00    0.98    2546    2416    4962
      60    1.00    0.99    1.00    0.99    2645    2549    5194
      61    0.90    0.94    0.99    0.89    2627    2423    5050
      62    1.00    1.00    1.00    1.00    2690    2524    5214
      63    0.98    0.99    1.00    0.98    2441    2509    4950
      64    0.96    0.97    1.00    0.96    2536    2448    4984
      65    0.99    0.80    1.00    0.80    2466    2432    4898
      66    1.00    1.00    1.00    1.00    2472    2475    4947
      67    0.90    1.00    1.00    0.90    2316    2363    4679
      68    0.83    0.74    0.93    0.77    2592    2682    5274
      69    1.00    1.00    1.00    1.00    2550    2468    5018
      70    0.96    0.96    1.00    0.96    2480    2402    4882
      71    0.97    0.93    1.00    0.93    3680    2484    6164
      72    0.99    0.99    1.00    0.99    2446    2551    4997
      73    0.94    0.85    0.99    0.83    2349    2504    4853
      74    0.96    0.88    0.99    0.89    2626    2433    5059
      75    0.95    0.99    1.00    0.95    3107    2467    5574
      76    0.99    0.93    1.00    0.93    2646    2548    5194
      77    0.99    0.97    1.00    0.97    2422    2463    4885
      78    1.00    1.00    1.00    1.00    2445    2566    5011
      79    0.98    0.98    1.00    0.98    2531    2404    4935
      80    0.94    1.00    1.00    0.94    2583    2639    5222
      81    0.99    0.92    1.00    0.92    2448    2548    4996
      82    0.61    0.99    0.99    0.62    2869    2446    5315
      83    0.91    0.95    0.96    0.95    2512    2575    5087
      84    0.81    0.93    0.97    0.81    2735    2889    5624
      85    1.00    1.00    1.00    1.00    2500    2410    4910
      86    1.00    0.92    1.00    0.92    2537    2421    4958
      87    0.99    0.95    1.00    0.95    2555    2512    5067
      88    0.76    0.95    0.99    0.76    2549    2549    5098
      89    1.00    0.94    1.00    0.94    2521    2413    4934
      90    0.93    1.00    1.00    0.93    3030    2478    5508
      91    0.99    0.95    1.00    0.95    2497    2402    4899
      92    1.00    1.00    1.00    1.00    2524    2541    5065
      93    1.00    1.00    1.00    1.00    2454    2440    4894
      94    0.97    0.78    1.00    0.78    2555    2578    5133
      95    0.95    1.00    1.00    0.95    2433    2347    4780
      96    1.00    0.96    1.00    0.96    2484    2906    5390
      97    0.99    0.99    1.00    0.99    2668    2551    5219
      98    0.61    0.98    1.00    0.60    2647    2850    5497
      99    0.92    0.86    1.00    0.84    2413    2582    4995
