   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
  96,     100,      64,      10,     100,    1606,    0.06,    0.12,    0.06,     1051.50,     1900.19,     1075.63,    0.10,    0.10,    0.09,    0.10,    0.20,    0.11
  96,     100,      64,      20,     100,    1606,    0.10,    0.19,    0.11,     1537.00,     2684.26,     1551.86,    0.20,    0.20,    0.19,    0.20,    0.31,    0.21
  96,     100,      64,      50,     100,    1606,    0.18,    0.27,    0.17,     2862.00,     3341.00,     2664.95,    0.50,    0.50,    0.49,    0.50,    0.60,    0.51
  96,     100,      64,     100,     100,    1606,    0.22,    0.31,    0.22,     3231.00,     3346.05,     3112.36,    1.00,    1.00,    0.98,    0.92,    1.00,    0.88
  96,     100,      64,     150,     100,    2339,    0.36,    0.49,    0.35,     4692.00,     4801.01,     4437.59,    1.00,    1.00,    0.99,    0.97,    1.00,    0.93
  96,     100,      64,     200,     100,    3071,    0.48,    0.69,    0.47,     6154.00,     6256.04,     5728.67,    1.00,    1.00,    1.00,    0.98,    1.00,    0.95
  96,     100,      64,     250,     100,    3803,    0.61,    0.89,    0.60,     7618.00,     7729.02,     6998.79,    1.00,    1.00,    1.00,    0.99,    1.00,    0.97
  96,     100,      64,     300,     100,    4532,    0.74,    1.06,    0.72,     9073.00,     9187.03,     8234.22,    1.00,    1.00,    1.00,    1.00,    1.00,    0.98
  96,     100,      64,     500,     100,    7424,    1.24,    1.73,    1.18,    14852.00,    14941.02,    12943.14,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
  96,     100,      64,     750,     100,   11017,    1.88,    2.57,    1.77,    20855.00,    22127.01,    18404.64,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      64,    1000,     100,   14579,    2.51,    3.63,    2.35,    25753.50,    29233.02,    23497.83,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      64,    2000,     100,   28680,    4.81,    7.28,    4.63,    43174.50,    57420.02,    41673.30,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
  96,     100,      64,    3000,     100,   42628,    7.00,   10.54,    6.87,    58506.50,    85306.03,    57498.43,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
