   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 100,     200,      20,      10,     100,    2403,    0.06,    0.12,    0.06,     1115.50,     2017.08,     1161.71,    0.09,    0.10,    0.06,    0.10,    0.20,    0.11
 100,     200,      20,      20,     100,    2403,    0.10,    0.24,    0.11,     1681.00,     3123.92,     1736.78,    0.19,    0.20,    0.15,    0.20,    0.34,    0.21
 100,     200,      20,      50,     100,    2403,    0.24,    0.48,    0.25,     3177.50,     4851.01,     3213.08,    0.49,    0.50,    0.44,    0.50,    0.59,    0.46
 100,     200,      20,     100,     100,    2403,    0.41,    0.74,    0.42,     4822.00,     4877.00,     4570.94,    0.98,    1.00,    0.89,    0.75,    1.00,    0.70
 100,     200,      20,     150,     100,    3482,    0.64,    1.27,    0.68,     6977.00,     7033.00,     6515.78,    0.99,    1.00,    0.93,    0.82,    1.00,    0.75
 100,     200,      20,     200,     100,    4564,    0.82,    1.64,    0.85,     9139.00,     9194.01,     8422.99,    0.99,    1.00,    0.95,    0.86,    1.00,    0.79
 100,     200,      20,     250,     100,    5651,    1.00,    1.84,    0.99,    11310.00,    11367.01,    10308.05,    0.99,    1.00,    0.96,    0.89,    1.00,    0.81
 100,     200,      20,     300,     100,    6733,    1.19,    1.86,    1.16,    13471.00,    13534.00,    12162.61,    0.99,    1.00,    0.97,    0.91,    1.00,    0.83
 100,     200,      20,     500,     100,   11066,    1.99,    3.37,    1.93,    21832.50,    22199.00,    19392.48,    1.00,    1.00,    0.98,    0.95,    1.00,    0.88
 100,     200,      20,     750,     100,   16475,    2.91,    4.74,    2.81,    31105.00,    33011.02,    28121.05,    1.00,    1.00,    0.98,    0.97,    1.00,    0.91
 100,     200,      20,    1000,     100,   21889,    3.91,    6.96,    3.78,    40123.50,    43840.01,    36607.98,    1.00,    1.00,    0.99,    0.98,    1.00,    0.93
 100,     200,      20,    2000,     100,   43462,    7.62,   13.34,    7.41,    73995.00,    86980.02,    69113.27,    1.00,    1.00,    0.99,    0.99,    1.00,    0.97
 100,     200,      20,    3000,     100,   64965,   10.29,   14.40,    9.91,   106552.50,   129983.02,    99955.82,    1.00,    1.00,    0.99,    1.00,    1.00,    0.98
