   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 256,     200,      16,      10,     100,    1640,    0.07,    0.16,    0.08,      785.00,     1526.01,      828.69,    0.08,    0.10,    0.05,    0.10,    0.20,    0.10
 256,     200,      16,      20,     100,    1640,    0.12,    0.28,    0.14,     1197.00,     2291.03,     1266.56,    0.19,    0.20,    0.14,    0.20,    0.35,    0.20
 256,     200,      16,      50,     100,    1640,    0.28,    0.47,    0.29,     2274.00,     3323.00,     2318.42,    0.49,    0.50,    0.41,    0.50,    0.61,    0.46
 256,     200,      16,     100,     100,    1640,    0.44,    0.74,    0.45,     3293.00,     3337.00,     3164.56,    0.95,    1.00,    0.82,    0.81,    1.00,    0.72
 256,     200,      16,     150,     100,    2354,    0.66,    0.92,    0.65,     4720.00,     4764.00,     4490.84,    0.97,    1.00,    0.87,    0.85,    1.00,    0.76
 256,     200,      16,     200,     100,    3069,    0.86,    1.25,    0.85,     6150.00,     6194.00,     5809.68,    0.98,    1.00,    0.90,    0.87,    1.00,    0.78
 256,     200,      16,     250,     100,    3784,    1.07,    1.63,    1.04,     7580.00,     7624.00,     7125.86,    0.98,    1.00,    0.91,    0.89,    1.00,    0.79
 256,     200,      16,     300,     100,    4498,    1.29,    2.03,    1.27,     9008.00,     9052.00,     8442.50,    0.98,    1.00,    0.92,    0.90,    1.00,    0.80
 256,     200,      16,     500,     100,    7377,    2.20,    3.31,    2.14,    14766.00,    14809.00,    13757.76,    0.98,    1.00,    0.95,    0.92,    1.00,    0.84
 256,     200,      16,     750,     100,   10996,    3.30,    5.10,    3.22,    22003.00,    22046.00,    20495.70,    0.99,    1.00,    0.96,    0.94,    1.00,    0.87
 256,     200,      16,    1000,     100,   14629,    4.43,    6.36,    4.28,    29270.00,    29311.00,    27315.21,    0.99,    1.00,    0.96,    0.96,    1.00,    0.89
 256,     200,      16,    2000,     100,   29223,    9.29,   12.85,    9.09,    58456.00,    58496.00,    55004.05,    0.99,    1.00,    0.98,    0.98,    1.00,    0.94
 256,     200,      16,    3000,     100,   43841,   14.34,   20.33,   14.11,    87690.00,    87728.00,    82765.48,    0.99,    1.00,    0.98,    0.99,    1.00,    0.97
