   i      m1      m2       m       o     dc1     dc2      dc
   0    0.97    0.85    1.00    0.83    1302    1302    2604
   1    0.75    0.87    0.98    0.75    1301    1301    2602
   2    0.10    0.75    0.75    0.11    1303    1301    2604
   3    0.86    0.93    0.99    0.87    1304    1301    2605
   4    0.96    1.00    1.00    0.96    1302    1302    2604
   5    0.98    0.99    1.00    0.98    1304    1301    2605
   6    0.84    0.74    0.94    0.80    1301    1301    2602
   7    0.97    1.00    1.00    0.97    1301    1302    2603
   8    0.96    0.67    0.98    0.67    1301    1302    2603
   9    0.71    0.98    0.99    0.70    1303    1303    2606
  10    0.64    0.82    0.95    0.63    1302    1302    2604
  11    0.91    0.81    0.96    0.81    1301    1303    2604
  12    0.98    1.00    1.00    0.98    1302    1302    2604
  13    0.99    0.79    1.00    0.79    1302    1303    2605
  14    0.92    0.59    0.98    0.60    1301    1301    2602
  15    0.59    0.93    0.98    0.58    1301    1301    2602
  16    0.83    0.87    0.95    0.87    1301    1301    2602
  17    0.94    0.72    0.96    0.72    1302    1301    2603
  18    1.00    0.83    1.00    0.83    1301    1302    2603
  19    0.98    0.98    1.00    0.98    1301    1302    2603
  20    0.98    0.90    1.00    0.90    1303    1302    2605
  21    0.82    0.88    0.97    0.82    1303    1305    2608
  22    0.99    0.81    1.00    0.81    1304    1301    2605
  23    0.95    0.99    1.00    0.95    1301    1301    2602
  24    0.69    0.97    1.00    0.67    1302    1301    2603
  25    0.57    0.96    0.98    0.57    1301    1301    2602
  26    0.42    0.83    0.85    0.50    1301    1304    2605
  27    0.56    0.97    0.98    0.58    1303    1302    2605
  28    0.85    0.93    0.98    0.85    1302    1301    2603
  29    0.87    0.83    1.00    0.79    1301    1304    2605
  30    0.81    0.88    0.99    0.78    1301    1301    2602
  31    0.93    0.91    1.00    0.91    1301    1301    2602
  32    0.94    0.88    0.99    0.88    1301    1302    2603
  33    0.86    0.98    0.99    0.87    1304    1301    2605
  34    0.98    1.00    1.00    0.98    1303    1302    2605
  35    0.49    0.82    0.85    0.57    1301    1301    2602
  36    0.86    0.88    0.99    0.83    1301    1304    2605
  37    0.65    0.95    0.98    0.66    1305    1301    2606
  38    0.81    0.89    0.93    0.88    1302    1302    2604
  39    0.99    0.87    1.00    0.87    1301    1304    2605
  40    0.98    1.00    1.00    0.98    1301    1301    2602
  41    0.95    0.51    0.96    0.54    1301    1302    2603
  42    0.96    1.00    1.00    0.96    1302    1301    2603
  43    0.76    0.73    0.95    0.73    1302    1302    2604
  44    0.97    0.99    0.99    0.98    1302    1302    2604
  45    0.98    0.72    1.00    0.72    1302    1301    2603
  46    0.97    0.87    1.00    0.87    1303    1301    2604
  47    0.74    0.92    0.97    0.75    1301    1301    2602
  48    0.72    0.77    0.97    0.66    1303    1301    2604
  49    0.47    0.99    1.00    0.46    1302    1302    2604
  50    0.92    0.89    0.97    0.89    1305    1302    2607
  51    1.00    0.86    1.00    0.86    1307    1302    2609
