   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave
 128,      50,      32,      10,     100,    1016,    0.05,    0.09,    0.05,      875.00,     1428.12,      876.26,    0.09,    0.10,    0.08,    0.11,    0.20,    0.12
 128,      50,      32,      20,     100,    1016,    0.08,    0.14,    0.08,     1226.50,     1897.04,     1223.51,    0.19,    0.20,    0.18,    0.21,    0.38,    0.22
 128,      50,      32,      50,     100,    1016,    0.15,    0.21,    0.15,     2041.00,     2116.01,     1906.66,    0.49,    0.50,    0.47,    0.51,    0.63,    0.52
 128,      50,      32,     100,     100,    1016,    0.17,    0.22,    0.17,     2049.00,     2118.00,     2031.42,    0.96,    1.00,    0.94,    0.78,    1.00,    0.78
 128,      50,      32,     150,     100,    1476,    0.28,    0.39,    0.28,     2966.00,     3035.01,     2924.14,    0.98,    1.00,    0.97,    0.87,    1.00,    0.86
 128,      50,      32,     200,     100,    1936,    0.39,    0.53,    0.38,     3886.00,     3956.01,     3811.74,    0.99,    1.00,    0.98,    0.92,    1.00,    0.90
 128,      50,      32,     250,     100,    2393,    0.49,    0.68,    0.49,     4800.00,     4867.00,     4687.29,    0.99,    1.00,    0.99,    0.95,    1.00,    0.93
 128,      50,      32,     300,     100,    2850,    0.60,    0.82,    0.60,     5713.00,     5777.01,     5557.53,    1.00,    1.00,    0.99,    0.97,    1.00,    0.95
 128,      50,      32,     500,     100,    4661,    1.02,    1.54,    1.02,     9333.00,     9400.02,     8960.33,    1.00,    1.00,    0.99,    0.99,    1.00,    0.98
 128,      50,      32,     750,     100,    6908,    1.56,    2.16,    1.53,    13825.00,    13878.01,    13094.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99
 128,      50,      32,    1000,     100,    9141,    2.09,    3.24,    2.07,    18290.00,    18346.01,    17120.74,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
 128,      50,      32,    2000,     100,   17977,    4.63,    6.65,    4.45,    35958.00,    36004.00,    32318.92,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
 128,      50,      32,    3000,     100,   26712,    7.12,   10.16,    6.78,    50954.00,    53471.01,    46161.06,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00
