   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
  96,     100,      16,      10,     100,    1606,    0.06,    0.11,    0.06,      479.00,     1042.06,      514.65,    0.10,    0.10,    0.08,    0.10,    0.20,    0.12,    0.93,    0.97,    0.93,    0.34,    0.91,    0.39
  96,     100,      16,      20,     100,    1606,    0.09,    0.16,    0.09,      629.50,     1414.19,      665.32,    0.20,    0.20,    0.18,    0.20,    0.34,    0.21,    0.95,    0.98,    0.95,    0.22,    0.88,    0.25
  96,     100,      16,      50,     100,    1606,    0.20,    0.34,    0.20,     1075.00,     1861.63,     1078.27,    0.50,    0.50,    0.49,    0.50,    0.59,    0.51,    0.97,    0.99,    0.97,    0.11,    0.39,    0.12
  96,     100,      16,     100,     100,    1606,    0.41,    0.53,    0.39,     1764.50,     2478.08,     1711.26,    0.99,    1.00,    0.97,    0.94,    1.00,    0.91,    0.98,    0.99,    0.98,    0.10,    0.38,    0.14
  96,     100,      16,     150,     100,    2339,    0.60,    0.77,    0.57,     2395.00,     3358.07,     2301.12,    1.00,    1.00,    0.98,    0.97,    1.00,    0.95,    0.98,    0.99,    0.98,    0.06,    0.31,    0.10
  96,     100,      16,     200,     100,    3071,    0.77,    1.01,    0.74,     2951.00,     4244.33,     2856.75,    1.00,    1.00,    0.99,    0.99,    1.00,    0.96,    0.99,    0.99,    0.99,    0.04,    0.29,    0.08
  96,     100,      16,     250,     100,    3803,    0.94,    1.25,    0.91,     3487.00,     5080.23,     3387.16,    1.00,    1.00,    0.99,    0.99,    1.00,    0.97,    0.99,    1.00,    0.99,    0.03,    0.26,    0.06
  96,     100,      16,     300,     100,    4532,    1.11,    1.48,    1.07,     4001.50,     5873.35,     3897.27,    1.00,    1.00,    1.00,    1.00,    1.00,    0.98,    0.99,    1.00,    0.99,    0.03,    0.24,    0.05
  96,     100,      16,     500,     100,    7424,    1.75,    2.47,    1.72,     5889.50,     8902.14,     5787.55,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99,    0.99,    1.00,    0.99,    0.02,    0.17,    0.03
  96,     100,      16,     750,     100,   11017,    2.53,    3.77,    2.50,     8005.00,    12672.31,     7925.89,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99,    1.00,    0.99,    0.02,    0.13,    0.02
  96,     100,      16,    1000,     100,   14579,    3.79,    8.39,    4.05,     9883.00,    16087.29,     9899.76,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.99,    1.00,    0.99,    0.01,    0.09,    0.02
  96,     100,      16,    2000,     100,   28680,    9.47,   17.87,    9.87,    16891.50,    28139.10,    16892.50,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.01,    0.04,    0.01
  96,     100,      16,    3000,     100,   42628,    9.31,   15.58,    9.30,    22973.50,    38459.20,    23076.40,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.01,    0.03,    0.01
