   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 128,      50,       8,      10,     100,    1016,    0.04,    0.07,    0.04,      340.00,      671.10,      355.03,    0.08,    0.10,    0.06,    0.12,    0.20,    0.13,    0.93,    0.97,    0.93,    0.50,    0.93,    0.53
 128,      50,       8,      20,     100,    1016,    0.06,    0.11,    0.06,      439.50,      911.05,      471.85,    0.17,    0.20,    0.15,    0.22,    0.40,    0.24,    0.95,    0.98,    0.95,    0.36,    0.92,    0.40
 128,      50,       8,      50,     100,    1016,    0.13,    0.23,    0.14,      736.00,     1391.14,      754.47,    0.47,    0.50,    0.44,    0.52,    0.64,    0.53,    0.97,    0.99,    0.97,    0.22,    0.69,    0.25
 128,      50,       8,     100,     100,    1016,    0.28,    0.36,    0.27,     1210.50,     1746.01,     1179.28,    0.95,    1.00,    0.92,    0.83,    1.00,    0.82,    0.98,    0.99,    0.98,    0.18,    0.55,    0.20
 128,      50,       8,     150,     100,    1476,    0.41,    0.51,    0.40,     1660.00,     2244.41,     1606.85,    0.97,    1.00,    0.95,    0.89,    1.00,    0.88,    0.99,    0.99,    0.98,    0.15,    0.45,    0.17
 128,      50,       8,     200,     100,    1936,    0.54,    0.66,    0.52,     2077.50,     2819.05,     2021.64,    0.98,    1.00,    0.96,    0.93,    1.00,    0.91,    0.99,    1.00,    0.99,    0.13,    0.41,    0.15
 128,      50,       8,     250,     100,    2393,    0.67,    0.83,    0.64,     2483.00,     3405.01,     2420.61,    0.98,    1.00,    0.97,    0.95,    1.00,    0.93,    0.99,    1.00,    0.99,    0.12,    0.38,    0.13
 128,      50,       8,     300,     100,    2850,    0.79,    0.98,    0.76,     2887.50,     3954.06,     2807.62,    0.99,    1.00,    0.97,    0.96,    1.00,    0.95,    0.99,    1.00,    0.99,    0.11,    0.36,    0.13
 128,      50,       8,     500,     100,    4661,    1.28,    1.61,    1.24,     4378.50,     6073.03,     4262.86,    0.99,    1.00,    0.98,    0.99,    1.00,    0.97,    0.99,    1.00,    0.99,    0.10,    0.29,    0.11
 128,      50,       8,     750,     100,    6908,    1.88,    2.40,    1.82,     6092.00,     8562.29,     5932.25,    0.99,    1.00,    0.99,    1.00,    1.00,    0.99,    0.99,    1.00,    0.99,    0.09,    0.25,    0.10
 128,      50,       8,    1000,     100,    9141,    2.47,    3.19,    2.39,     7711.50,    10830.28,     7497.52,    1.00,    1.00,    0.99,    1.00,    1.00,    0.99,    1.00,    1.00,    1.00,    0.09,    0.24,    0.10
 128,      50,       8,    2000,     100,   17977,    4.81,    6.28,    4.66,    13475.50,    18934.35,    13081.67,    1.00,    1.00,    0.99,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.08,    0.21,    0.09
 128,      50,       8,    3000,     100,   26712,    7.11,    9.33,    6.89,    18548.00,    26011.40,    18044.34,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    1.00,    0.08,    0.19,    0.08
