   i      m1      m2       m       o     dc1     dc2      dc
   0    0.97    0.96    1.00    0.96    1303    1302    2605
   1    0.75    0.92    0.98    0.76    1302    1301    2603
   2    0.10    0.75    0.75    0.11    1302    1302    2604
   3    0.86    0.98    1.00    0.86    1301    1303    2604
   4    0.96    1.00    1.00    0.96    1301    1301    2602
   5    0.98    0.99    1.00    0.98    1302    1301    2603
   6    0.84    0.81    0.96    0.85    1302    1301    2603
   7    0.97    1.00    1.00    0.97    1301    1301    2602
   8    0.96    0.67    0.98    0.67    1303    1301    2604
   9    0.71    0.99    0.99    0.71    1301    1301    2602
  10    0.65    0.89    0.98    0.63    1304    1302    2606
  11    0.91    0.81    0.96    0.83    1301    1301    2602
  12    0.98    1.00    1.00    0.98    1303    1303    2606
  13    0.99    0.94    1.00    0.94    1301    1301    2602
  14    0.92    0.72    0.99    0.72    1301    1301    2602
  15    0.59    0.95    0.98    0.59    1306    1301    2607
  16    0.83    0.98    1.00    0.83    1301    1301    2602
  17    0.94    1.00    1.00    0.94    1301    1301    2602
  18    1.00    0.83    1.00    0.83    1301    1291    2592
  19    0.98    0.98    1.00    0.98    1303    1301    2604
  20    0.98    1.00    1.00    0.98    1302    1302    2604
  21    0.82    0.98    0.99    0.82    1301    1302    2603
  22    0.99    1.00    1.00    0.99    1301    1260    2561
  23    0.95    0.99    1.00    0.95    1301    1175    2476
  24    0.69    0.97    1.00    0.67    1302    1303    2605
  25    0.57    0.98    0.98    0.57    1302    1301    2603
  26    0.42    0.84    0.85    0.50    1302    1302    2604
  27    0.56    0.98    0.99    0.57    1301    1302    2603
  28    0.85    0.96    0.98    0.87    1301    1301    2602
  29    0.97    0.99    1.00    0.97    1306    1302    2608
  30    0.84    0.88    0.99    0.81    1302    1301    2603
  31    0.93    0.93    1.00    0.93    1302    1285    2587
  32    0.96    0.97    1.00    0.96    1304    1301    2605
  33    0.86    0.99    1.00    0.86    1302    1304    2606
  34    0.98    1.00    1.00    0.98    1301    1301    2602
