   i      m1      m2       m       o     dc1     dc2      dc
   0    0.97    0.83    1.00    0.82    1303    1301    2604
   1    0.75    0.73    0.94    0.64    1302    1302    2604
   2    0.10    0.66    0.71    0.08    1302    1305    2607
   3    0.86    0.85    0.96    0.75    1301    1301    2602
   4    0.96    0.86    1.00    0.82    1301    1303    2604
   5    0.98    0.48    0.98    0.50    1302    1301    2603
   6    0.84    0.72    0.98    0.67    1302    1302    2604
   7    0.97    0.85    1.00    0.84    1301    1301    2602
   8    0.96    0.52    1.00    0.50    1303    1301    2604
   9    0.71    0.21    0.84    0.13    1301    1302    2603
  10    0.65    0.75    0.90    0.59    1304    1303    2607
  11    0.91    0.69    0.99    0.70    1301    1304    2605
  12    0.98    0.83    1.00    0.81    1303    1302    2605
  13    0.99    0.84    1.00    0.84    1301    1302    2603
  14    0.92    0.89    1.00    0.82    1301    1302    2603
  15    0.59    0.30    0.71    0.36    1306    1301    2607
  16    0.83    0.87    0.98    0.72    1301    1303    2604
  17    0.94    0.92    1.00    0.86    1301    1301    2602
  18    1.00    0.84    1.00    0.84    1301    1301    2602
  19    0.98    0.60    1.00    0.59    1303    1304    2607
  20    0.98    0.87    1.00    0.85    1302    1302    2604
  21    0.82    0.92    0.99    0.75    1301    1302    2603
  22    0.99    0.49    0.99    0.50    1301    1301    2602
  23    0.95    0.87    0.99    0.83    1301    1301    2602
  24    0.69    0.51    0.88    0.47    1302    1301    2603
  25    0.57    0.37    0.77    0.18    1302    1304    2606
  26    0.42    0.85    0.92    0.42    1302    1301    2603
  27    0.56    0.30    0.68    0.29    1301    1302    2603
  28    0.85    0.37    0.94    0.31    1301    1304    2605
  29    0.97    0.65    1.00    0.65    1306    1303    2609
  30    0.84    0.80    0.96    0.72    1302    1301    2603
  31    0.93    0.87    0.99    0.81    1302    1303    2605
  32    0.96    0.72    0.99    0.71    1304    1306    2610
  33    0.86    0.88    0.99    0.77    1302    1302    2604
  34    0.98    0.77    0.99    0.76    1301    1301    2602
  35    0.49    0.80    0.93    0.44    1301    1301    2602
  36    0.86    0.66    0.92    0.66    1301    1304    2605
  37    0.66    0.74    0.93    0.58    1301    1302    2603
  38    0.81    0.57    0.90    0.58    1304    1303    2607
  39    0.99    0.89    1.00    0.88    1302    1301    2603
  40    0.98    0.15    0.98    0.15    1303    1301    2604
  41    0.95    0.85    1.00    0.81    1302    1301    2603
  42    0.96    0.70    0.99    0.69    1301    1302    2603
  43    0.76    0.58    0.86    0.66    1302    1301    2603
  44    0.97    0.64    0.97    0.66    1302    1301    2603
  45    0.98    0.60    0.99    0.61    1301    1303    2604
  46    0.97    0.67    1.00    0.65    1305    1301    2606
  47    0.74    0.80    0.96    0.65    1303    1301    2604
  48    0.72    0.81    0.95    0.65    1302    1301    2603
  49    0.47    0.15    0.56    0.17    1303    1301    2604
  50    0.92    0.55    0.98    0.56    1301    1301    2602
  51    1.00    0.79    1.00    0.79    1303    1303    2606
