   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 200,     300,      24,      10,     100,    2476,    0.17,    0.37,    0.18,     1072.50,     2347.21,     1131.84,    0.08,    0.10,    0.06,    0.10,    0.20,    0.11,    0.98,    0.99,    0.98,    0.57,    0.98,    0.63
 200,     300,      24,      20,     100,    2476,    0.27,    0.56,    0.29,     1384.00,     3159.32,     1563.95,    0.18,    0.20,    0.14,    0.20,    0.38,    0.20,    0.99,    1.00,    0.98,    0.37,    0.99,    0.47
 200,     300,      24,      50,     100,    2476,    0.59,    1.10,    0.61,     2238.00,     4688.31,     2462.12,    0.49,    0.50,    0.42,    0.50,    0.58,    0.43,    0.99,    1.00,    0.99,    0.18,    0.98,    0.28
 200,     300,      24,     100,     100,    2476,    1.05,    1.38,    1.04,     3698.00,     5034.02,     3737.80,    0.98,    1.00,    0.87,    0.75,    1.00,    0.68,    0.99,    1.00,    0.99,    0.12,    0.98,    0.21
 200,     300,      24,     150,     100,    3554,    1.54,    2.05,    1.51,     5098.50,     7181.00,     5096.64,    0.99,    1.00,    0.93,    0.80,    1.00,    0.73,    1.00,    1.00,    0.99,    0.09,    0.97,    0.14
 200,     300,      24,     200,     100,    4640,    2.02,    2.72,    1.97,     6425.00,     9345.02,     6397.73,    0.99,    1.00,    0.95,    0.85,    1.00,    0.76,    1.00,    1.00,    1.00,    0.07,    0.82,    0.11
 200,     300,      24,     250,     100,    5721,    2.49,    3.48,    2.43,     7715.50,    11495.01,     7666.06,    0.99,    1.00,    0.96,    0.87,    1.00,    0.79,    1.00,    1.00,    1.00,    0.06,    0.45,    0.09
 200,     300,      24,     300,     100,    6800,    2.94,    4.11,    2.88,     9008.00,    13657.02,     8899.11,    1.00,    1.00,    0.97,    0.89,    1.00,    0.80,    1.00,    1.00,    1.00,    0.05,    0.34,    0.08
 200,     300,      24,     500,     100,   11116,    4.89,    6.75,    4.73,    13998.50,    20477.54,    13638.20,    1.00,    1.00,    0.98,    0.93,    1.00,    0.85,    1.00,    1.00,    1.00,    0.05,    0.23,    0.06
 200,     300,      24,     750,     100,   16500,    7.36,   10.32,    7.12,    19825.00,    28873.95,    19342.35,    1.00,    1.00,    0.99,    0.95,    1.00,    0.88,    1.00,    1.00,    1.00,    0.04,    0.16,    0.05
 200,     300,      24,    1000,     100,   21865,    9.86,   13.89,    9.57,    25474.00,    37389.79,    24847.72,    1.00,    1.00,    0.99,    0.97,    1.00,    0.90,    1.00,    1.00,    1.00,    0.04,    0.14,    0.05
 200,     300,      24,    2000,     100,   43237,   20.31,   29.21,   19.74,    47026.50,    69695.72,    45719.39,    1.00,    1.00,    0.99,    0.99,    1.00,    0.94,    1.00,    1.00,    1.00,    0.04,    0.11,    0.04
 200,     300,      24,    3000,     100,   64468,   31.23,   44.21,   30.20,    67617.50,    98395.83,    65337.07,    1.00,    1.00,    0.99,    0.99,    1.00,    0.96,    1.00,    1.00,    1.00,    0.04,    0.09,    0.04
