   d,     efc,       m,     efs,       k,      dc,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    op50,    op99,    oave,    rp50,    rp99,    rave,   c1p50,   c1p99,   c1ave,   c2p50,   c2p99,   c2ave
 256,     200,      16,      10,     100,    1640,    0.10,    0.22,    0.10,      657.00,     1415.00,      684.62,    0.08,    0.10,    0.05,    0.10,    0.20,    0.10,    0.97,    0.99,    0.97,    0.64,    0.98,    0.67
 256,     200,      16,      20,     100,    1640,    0.17,    0.35,    0.18,      883.00,     1986.00,      976.14,    0.19,    0.20,    0.14,    0.20,    0.35,    0.20,    0.98,    1.00,    0.98,    0.47,    0.98,    0.54
 256,     200,      16,      50,     100,    1640,    0.37,    0.70,    0.38,     1449.00,     2954.01,     1575.09,    0.49,    0.50,    0.40,    0.50,    0.60,    0.45,    0.99,    1.00,    0.99,    0.29,    0.98,    0.39
 256,     200,      16,     100,     100,    1640,    0.66,    0.93,    0.66,     2387.00,     3329.00,     2403.27,    0.97,    1.00,    0.82,    0.83,    1.00,    0.74,    0.99,    1.00,    0.99,    0.23,    0.97,    0.32
 256,     200,      16,     150,     100,    2354,    0.98,    1.38,    0.97,     3307.50,     4753.00,     3320.64,    0.98,    1.00,    0.88,    0.86,    1.00,    0.77,    1.00,    1.00,    0.99,    0.20,    0.97,    0.26
 256,     200,      16,     200,     100,    3069,    1.31,    1.85,    1.29,     4236.00,     6178.00,     4216.98,    0.98,    1.00,    0.90,    0.88,    1.00,    0.79,    1.00,    1.00,    0.99,    0.19,    0.95,    0.23
 256,     200,      16,     250,     100,    3784,    1.65,    2.32,    1.61,     5168.50,     7604.00,     5107.78,    0.98,    1.00,    0.92,    0.89,    1.00,    0.81,    1.00,    1.00,    1.00,    0.18,    0.76,    0.21
 256,     200,      16,     300,     100,    4498,    1.99,    2.81,    1.93,     6113.00,     9024.01,     5990.89,    0.98,    1.00,    0.93,    0.90,    1.00,    0.82,    1.00,    1.00,    1.00,    0.18,    0.53,    0.20
 256,     200,      16,     500,     100,    7377,    3.46,    4.65,    3.30,     9940.50,    14228.03,     9505.51,    0.99,    1.00,    0.95,    0.93,    1.00,    0.86,    1.00,    1.00,    1.00,    0.17,    0.37,    0.18
 256,     200,      16,     750,     100,   10996,    5.43,    6.86,    5.11,    14681.50,    19430.02,    13867.80,    0.99,    1.00,    0.96,    0.95,    1.00,    0.89,    1.00,    1.00,    1.00,    0.17,    0.30,    0.17
 256,     200,      16,    1000,     100,   14629,    7.47,    9.14,    7.00,    19342.50,    24476.09,    18177.26,    0.99,    1.00,    0.97,    0.96,    1.00,    0.91,    1.00,    1.00,    1.00,    0.17,    0.27,    0.16
 256,     200,      16,    2000,     100,   29223,   15.93,   18.26,   14.99,    36813.00,    42933.03,    34649.55,    0.99,    1.00,    0.98,    0.98,    1.00,    0.95,    1.00,    1.00,    1.00,    0.15,    0.21,    0.15
 256,     200,      16,    3000,     100,   43841,   24.31,   27.06,   23.08,    52382.00,    59013.03,    49759.57,    0.99,    1.00,    0.98,    0.99,    1.00,    0.97,    1.00,    1.00,    1.00,    0.14,    0.18,    0.14
