d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
200,200,32,10,100,0.48525,0.72156,0.478764,4956.5,6852.24,4952.16,111,152.03,114.412,0.76,1,0.69448
200,200,32,20,100,0.49,0.738505,0.484553,4956.5,6852.24,4952.16,111,152.03,114.412,0.76,1,0.69448
200,200,32,50,100,0.4875,0.72752,0.481046,4956.5,6852.24,4952.16,111,152.03,114.412,0.76,1,0.69448
200,200,32,100,100,0.48475,0.72258,0.479185,4956.5,6852.24,4952.16,111,152.03,114.412,0.76,1,0.69448
200,200,32,150,100,0.696,0.975505,0.67913,7206.5,9218.04,7108.92,160,199.01,163.463,0.82,1,0.73999
200,200,32,200,100,0.90375,1.252,0.876402,9451,11527.5,9280.35,210,252.02,213.006,0.86,1,0.77102
200,200,32,250,100,1.098,1.49152,1.06103,11674.5,14298.5,11443,260,306,262.617,0.88,1,0.79302
200,200,32,300,100,1.3485,2.2424,1.33726,13898.5,16494.2,13600.8,310,355,312.176,0.9,1,0.81005
200,200,32,500,100,2.033,2.75301,1.96642,22794,26595.8,22232.7,509,535.02,511.02,0.94,1,0.853421
200,200,32,750,100,2.97825,4.03461,2.86568,33904.5,39354.3,33000,759,778.01,760.203,0.96,1,0.88378
200,200,32,1000,100,3.8645,5.22003,3.7169,44937.5,51760.5,43731.6,1009,1027.02,1009.75,0.97,1,0.90317
200,200,32,2000,100,7.369,9.83709,7.07209,88797.5,101072,86475.9,2008,2019,2008.76,0.99,1,0.94323
200,200,32,3000,100,10.807,14.2856,10.3517,132487,149369,128937,3008,3017,3008.51,0.99,1,0.9616
