d,efc,m,efs,k,lp50,lp99,lave, dp50,dp99,dave,hp50,hp99,have,rp50,rp99,rave
256,200,20,10,100,0.322,0.5145,0.320402,3259.5,4726.05,3281.95,112,162,116.153,0.84,1,0.741812
256,200,20,20,100,0.3235,0.51451,0.321304,3259.5,4726.05,3281.95,112,162,116.153,0.84,1,0.741812
256,200,20,50,100,0.3225,0.5115,0.320447,3259.5,4726.05,3281.95,112,162,116.153,0.84,1,0.741812
256,200,20,100,100,0.3225,0.515005,0.320816,3259.5,4726.05,3281.95,112,162,116.153,0.84,1,0.741812
256,200,20,150,100,0.4735,0.686,0.461849,4758,6205.05,4709.51,162,210,165.491,0.87,1,0.770885
256,200,20,200,100,0.6285,0.914505,0.609431,6245,7729.05,6139.56,211,260.01,214.944,0.89,1,0.79147
256,200,20,250,100,0.7805,1.033,0.747094,7735,9121.17,7569.13,261,308,264.372,0.9,1,0.807003
256,200,20,300,100,0.9295,1.1935,0.885332,9217,10553,8997.43,311,354,313.755,0.91,1,0.82045
256,200,20,500,100,1.5275,1.95354,1.44931,15162,16539.1,14754.1,510,543,512.325,0.93,1,0.858967
256,200,20,750,100,2.1375,2.6705,2.02481,22583,24206,21993.6,760,787,761.301,0.95,1,0.890332
256,200,20,1000,100,2.8985,3.525,2.75185,30002.5,31943,29259.5,1009,1031,1010.58,0.96,1,0.911831
256,200,20,2000,100,5.9305,6.82302,5.6885,59555,62730,58447.1,2009,2022,2009.35,0.98,1,0.955191
256,200,20,3000,100,8.9735,9.92951,8.59776,88968.5,93227.1,87683.3,3008,3017,3008.75,0.99,1,0.973048
