       i       m      dc
       0    0.99    2846
       1    1.00    2768
       2    0.99    2956
       3    0.98    2478
       4    1.00    2585
       5    0.99    2506
       6    0.85    2528
       7    0.98    2900
       8    0.98    2456
       9    0.99    2535
      10    0.87    2351
      11    1.00    2891
      12    0.99    2580
      13    1.00    2530
      14    0.98    2469
      15    0.94    2520
      16    0.98    2507
      17    0.98    2532
      18    1.00    2487
      19    0.98    2477
      20    1.00    2496
      21    1.00    2495
      22    1.00    2492
      23    0.96    2445
      24    0.78    2450
      25    0.63    2377
      26    1.00    3343
      27    1.00    2470
      28    0.99    2770
      29    0.99    2576
      30    0.86    2849
      31    0.93    2430
      32    0.98    2380
      33    0.99    2678
      34    1.00    2627
      35    0.94    2550
      36    0.99    2512
      37    0.98    2428
      38    0.97    2559
      39    1.00    2449
      40    1.00    2534
      41    0.96    2735
      42    0.99    2565
      43    0.99    2583
      44    0.98    2435
      45    0.99    2479
      46    0.98    2369
      47    1.00    2964
      48    0.74    2479
      49    0.99    2706
      50    0.98    2673
      51    1.00    2515
      52    0.99    2561
      53    0.98    2535
      54    0.91    2374
      55    1.00    2442
      56    0.83    2267
      57    0.97    2752
      58    0.98    2622
      59    1.00    2546
      60    1.00    2645
      61    0.90    2627
      62    1.00    2690
      63    0.98    2441
      64    0.96    2536
      65    0.99    2466
      66    1.00    2472
      67    0.90    2316
      68    0.83    2592
      69    1.00    2550
      70    0.96    2480
      71    0.97    3680
      72    0.99    2446
      73    0.94    2349
      74    0.96    2626
      75    0.95    3107
      76    0.99    2646
      77    0.99    2422
      78    1.00    2445
      79    0.98    2531
      80    0.94    2583
      81    0.99    2448
      82    0.61    2869
      83    0.91    2512
      84    0.81    2735
      85    1.00    2500
      86    1.00    2537
      87    0.99    2555
      88    0.76    2549
      89    1.00    2521
      90    0.93    3030
      91    0.99    2497
      92    1.00    2524
      93    1.00    2454
      94    0.97    2555
      95    0.95    2433
      96    1.00    2484
      97    0.99    2668
      98    0.61    2647
      99    0.92    2413
