   d,     efc,       m,     efs,       k,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    rp50,    rp99,    rave
   4,       4,       4,      10,     100,    0.00,    0.00,    0.00,      112.00,      232.14,      121.52,    0.02,    0.10,    0.04
   4,       4,       4,      20,     100,    0.00,    0.01,    0.00,      176.00,      298.16,      171.34,    0.05,    0.20,    0.09
   4,       4,       4,      50,     100,    0.01,    0.02,    0.01,      289.00,      490.12,      295.92,    0.25,    0.50,    0.26
   4,       4,       4,     100,     100,    0.02,    0.02,    0.02,      445.00,      664.56,      456.82,    0.40,    0.86,    0.40
   4,       4,       4,     150,     100,    0.02,    0.04,    0.02,      591.00,      892.40,      603.98,    0.56,    0.92,    0.47
   4,       4,       4,     200,     100,    0.03,    0.05,    0.03,      737.00,     1058.10,      751.56,    0.58,    0.97,    0.52
   4,       4,       4,     250,     100,    0.04,    0.07,    0.04,      880.00,     1440.88,      915.52,    0.67,    0.97,    0.57
   4,       4,       4,     300,     100,    0.05,    0.08,    0.05,     1020.00,     1574.18,     1045.88,    0.68,    0.97,    0.60
   4,       4,       4,     500,     100,    0.08,    0.11,    0.08,     1499.00,     2034.60,     1536.96,    0.76,    0.99,    0.65
   4,       4,       4,     750,     100,    0.12,    0.20,    0.13,     2093.00,     3347.76,     2159.86,    0.85,    1.00,    0.72
   4,       4,       4,    1000,     100,    0.16,    0.28,    0.17,     2696.00,     4498.26,     2795.46,    0.92,    1.00,    0.79
   4,       4,       4,    2000,     100,    0.33,    0.45,    0.35,     5035.00,     6507.12,     5196.26,    0.98,    1.00,    0.93
   4,       4,       4,    3000,     100,    0.51,    0.59,    0.51,     7246.00,     8513.20,     7339.62,    1.00,    1.00,    0.98
