   d,     efc,       m,     efs,       k,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    rp50,    rp99,    rave
   4,       4,       4,      10,     100,    0.00,    0.00,    0.00,      160.00,      222.04,      164.46,    0.10,    0.10,    0.08
   4,       4,       4,      20,     100,    0.00,    0.01,    0.00,      196.00,      286.46,      203.30,    0.20,    0.20,    0.17
   4,       4,       4,      50,     100,    0.01,    0.01,    0.01,      292.00,      416.10,      296.10,    0.45,    0.50,    0.36
   4,       4,       4,     100,     100,    0.01,    0.02,    0.01,      443.00,      742.36,      456.82,    0.52,    0.85,    0.50
   4,       4,       4,     150,     100,    0.02,    0.04,    0.02,      606.00,      918.12,      623.76,    0.63,    0.92,    0.59
   4,       4,       4,     200,     100,    0.03,    0.04,    0.03,      728.00,     1034.30,      755.36,    0.67,    0.95,    0.62
   4,       4,       4,     250,     100,    0.04,    0.05,    0.04,      884.00,     1150.26,      893.92,    0.69,    0.96,    0.65
   4,       4,       4,     300,     100,    0.05,    0.07,    0.05,     1017.00,     1434.46,     1032.08,    0.74,    0.96,    0.68
   4,       4,       4,     500,     100,    0.08,    0.13,    0.08,     1507.00,     2289.36,     1535.54,    0.81,    0.98,    0.74
   4,       4,       4,     750,     100,    0.12,    0.16,    0.12,     2132.00,     2667.94,     2169.34,    0.87,    1.00,    0.81
   4,       4,       4,    1000,     100,    0.16,    0.22,    0.17,     2718.00,     3674.14,     2792.42,    0.92,    1.00,    0.85
   4,       4,       4,    2000,     100,    0.33,    0.41,    0.34,     5082.00,     6177.54,     5169.30,    0.98,    1.00,    0.95
   4,       4,       4,    3000,     100,    0.51,    0.60,    0.51,     7290.00,     8559.00,     7386.98,    1.00,    1.00,    0.98
