   d,     efc,       m,     efs,       k,    lp50,    lp99,    lave,        dp50,        dp99,        dave,    rp50,    rp99,    rave
   4,       4,       4,      10,     100,    0.00,    0.00,    0.00,      120.00,      180.02,      122.18,    0.10,    0.10,    0.09
   4,       4,       4,      20,     100,    0.00,    0.00,    0.00,      152.00,      214.06,      158.02,    0.20,    0.20,    0.17
   4,       4,       4,      50,     100,    0.01,    0.01,    0.01,      255.00,      418.12,      259.60,    0.44,    0.50,    0.36
   4,       4,       4,     100,     100,    0.01,    0.02,    0.01,      413.00,      630.18,      425.04,    0.59,    0.85,    0.52
   4,       4,       4,     150,     100,    0.02,    0.04,    0.02,      555.00,      874.76,      574.24,    0.64,    0.92,    0.59
   4,       4,       4,     200,     100,    0.03,    0.04,    0.03,      693.00,      955.02,      707.36,    0.67,    0.97,    0.62
   4,       4,       4,     250,     100,    0.04,    0.06,    0.04,      828.00,     1172.42,      840.42,    0.69,    0.97,    0.65
   4,       4,       4,     300,     100,    0.05,    0.07,    0.05,      972.00,     1286.76,      985.90,    0.75,    0.97,    0.68
   4,       4,       4,     500,     100,    0.08,    0.10,    0.08,     1454.00,     2091.18,     1482.82,    0.80,    0.99,    0.74
   4,       4,       4,     750,     100,    0.12,    0.16,    0.12,     2099.00,     2738.44,     2130.30,    0.85,    1.00,    0.80
   4,       4,       4,    1000,     100,    0.16,    0.22,    0.17,     2684.00,     3549.16,     2737.00,    0.92,    1.00,    0.84
   4,       4,       4,    2000,     100,    0.34,    0.46,    0.34,     5061.00,     6692.74,     5159.90,    0.98,    1.00,    0.95
   4,       4,       4,    3000,     100,    0.51,    0.64,    0.52,     7266.00,     8657.72,     7375.84,    1.00,    1.00,    0.98
